image_name,image_format,file_size,size,location,angle,white_percent,object_percentage,is_deviation,blur_value,image_brightness,contrast,blank_percentage,blank_background_color,create_time,proba,label
1,jpg,51,"(400, 400)","(56, 58, 291, 305)",0.514,"(0.145, 0.092, 0.14, 0.133)",0.555,"(0.027, False)",1319,176.394,295.767,0.515,254,2019/11/8,1,0
10,jpg,41,"(400, 400)","(127, 39, 136, 322)",11.539,"(0.098, 0.098, 0.318, 0.343)",0.274,"(0.013, False)",187,215.26,52.277,0.792,254,2019/11/8,1,1
100,jpg,79,"(400, 400)","(114, 53, 174, 292)",0,"(0.133, 0.138, 0.285, 0.28)",0.318,"(0.004, False)",459,113.021,119.163,0.726,254,2019/11/8,1,0
10001,jpg,69,"(400, 400)","(132, 23, 110, 367)",0,"(0.058, 0.025, 0.33, 0.395)",0.252,"(0.036, False)",506,164.738,115.859,0.64,254,2019/11/8,1,0
100038,jpg,92,"(800, 800)","(55, 67, 689, 674)",0,"(0.084, 0.074, 0.069, 0.07)",0.726,"(0.005, False)",1082,221.372,264.815,0.001,253,2019/11/8,1,1
100039,jpg,81,"(800, 800)","(67, 114, 679, 580)",0,"(0.142, 0.133, 0.084, 0.068)",0.615,"(0.01, False)",1665,224.602,323.708,0.001,252,2019/11/8,1,1
10004,jpg,87,"(400, 400)","(117, 48, 174, 321)",0.392,"(0.12, 0.077, 0.292, 0.273)",0.349,"(0.023, False)",736,142.344,216.569,0.64,254,2019/11/8,1,0
100041,jpg,87,"(800, 800)","(37, 106, 737, 581)",1.848,"(0.133, 0.141, 0.046, 0.033)",0.669,"(0.008, False)",1207,202.721,319.659,0.001,252,2019/11/8,1,1
100042,jpg,90,"(800, 800)","(42, 40, 718, 724)",1.386,"(0.05, 0.045, 0.052, 0.05)",0.812,"(0.003, False)",1487,217.517,343.654,0.001,254,2019/11/8,1,1
100044,jpg,79,"(800, 800)","(64, 75, 673, 651)",33.029,"(0.094, 0.092, 0.08, 0.079)",0.685,"(0.001, False)",2433,226.993,409.434,0.001,253,2019/11/8,1,1
100045,jpg,90,"(800, 800)","(20, 0, 780, 800)",0,"(0.0, 0.0, 0.025, 0.0)",0.975,"(0.013, False)",1423,182.455,332.699,0.001,252,2019/11/8,1,0
10005,jpg,83,"(400, 400)","(111, 34, 156, 306)",1.091,"(0.085, 0.15, 0.278, 0.333)",0.298,"(0.043, False)",736,179.07,188.481,0.64,254,2019/11/8,1,0
10008,jpg,58,"(400, 400)","(134, 25, 116, 336)",0,"(0.062, 0.098, 0.335, 0.375)",0.244,"(0.027, False)",544,163.909,129.281,0.64,254,2019/11/8,1,0
100112,jpg,74,"(800, 800)","(52, 22, 654, 732)",0.193,"(0.028, 0.058, 0.065, 0.117)",0.748,"(0.03, False)",303,194.743,140.061,0.001,254,2019/11/8,1,1
100127,jpg,45,"(800, 800)","(236, 47, 357, 709)",0,"(0.059, 0.055, 0.295, 0.259)",0.395,"(0.018, False)",408,110.863,110.002,0.001,253,2019/11/8,1,0
100128,jpg,47,"(800, 800)","(226, 43, 361, 718)",0.353,"(0.054, 0.049, 0.282, 0.266)",0.405,"(0.009, False)",292,161.043,71.253,0.001,253,2019/11/8,1,0
100132,jpg,39,"(800, 800)","(248, 32, 301, 731)",1.223,"(0.04, 0.046, 0.31, 0.314)",0.344,"(0.004, False)",202,176.806,60.809,0.001,254,2019/11/8,1,0
100133,jpg,43,"(800, 800)","(263, 34, 281, 743)",1.302,"(0.043, 0.029, 0.329, 0.32)",0.326,"(0.008, False)",199,190.698,56.166,0.001,253,2019/11/8,1,0
100134,jpg,39,"(800, 800)","(248, 32, 301, 731)",1.223,"(0.04, 0.046, 0.31, 0.314)",0.344,"(0.004, False)",202,176.806,60.809,0.001,254,2019/11/8,1,0
10014,jpg,75,"(400, 400)","(80, 65, 229, 302)",0,"(0.163, 0.083, 0.2, 0.228)",0.432,"(0.042, False)",1738,125.767,365.735,0.64,254,2019/11/8,1,1
100148,jpg,34,"(800, 800)","(294, 62, 190, 681)",5.401,"(0.077, 0.071, 0.367, 0.395)",0.202,"(0.014, False)",119,172.043,32.37,0.001,253,2019/11/8,1,0
100149,jpg,38,"(800, 800)","(263, 72, 282, 686)",6.6,"(0.09, 0.052, 0.329, 0.319)",0.302,"(0.019, False)",273,183.169,56.872,0.001,253,2019/11/8,1,0
10017,jpg,67,"(400, 400)","(135, 12, 139, 369)",1.66,"(0.03, 0.048, 0.338, 0.315)",0.321,"(0.014, False)",377,159.427,112.651,0.64,254,2019/11/8,1,0
100177,jpg,37,"(800, 800)","(289, 32, 221, 732)",4.764,"(0.04, 0.045, 0.361, 0.362)",0.253,"(0.003, False)",221,190.75,50.581,0.001,253,2019/11/8,1,0
100185,jpg,46,"(800, 800)","(250, 56, 306, 684)",0,"(0.07, 0.075, 0.312, 0.305)",0.327,"(0.005, False)",128,150.638,43.952,0.001,253,2019/11/8,1,0
100192,jpg,44,"(800, 800)","(223, 63, 342, 708)",5.577,"(0.079, 0.036, 0.279, 0.294)",0.378,"(0.023, False)",216,194.865,58.883,0.001,253,2019/11/8,1,0
100196,jpg,50,"(800, 800)","(135, 36, 404, 726)",6.289,"(0.045, 0.048, 0.169, 0.326)",0.458,"(0.079, True)",132,184.854,45.01,0.001,253,2019/11/8,1,0
100198,jpg,50,"(800, 800)","(223, 36, 311, 722)",1.818,"(0.045, 0.052, 0.279, 0.333)",0.351,"(0.027, False)",170,183.999,51.166,0.001,253,2019/11/8,1,0
100206,JPEG,47,"(400, 400)","(0, 0, 400, 400)",0,"(0.0, 0.0, 0.0, 0.0)",1,"(0.0, False)",1075,173.647,235.089,0.001,0,2019/11/8,1,0
