productinfo_id,ProductName,Brand,BrandDictionary_Id,OriginalPlace,DisplayCategoryName,image_id,image_name,image_format,image_size,image_url
1,宣酒十年窖40度460ml,宣酒,3523,安徽宣城,白酒-区域名酒,83035,5038763100658276746.jpg,jpg,51892,http://yjp-product.ufile.ucloud.cn/Product/2017/06/860491e43d3c4425a6dfa66b48d113f5.jpg
2,口子窖三十年52度500ml（1*6）,口子窖,3524,安徽濉溪,白酒-区域名酒,14492,jp_102.jpg,jpg,43214,http://yjp-product.ufile.ucloud.cn/Product/2017/11/0259fc873adf4aaa80405196d4b46358.jpg
3,古井贡酒（老）55度500ml,古井,3525,安徽亳州,白酒-区域名酒,14493,jp_103.jpg,jpg,58603,http://yjp-product.ufile.ucloud.cn/Product/2017/11/ed203f429f5946929775d31fa00fa2d7.jpg
4,迎驾金星40.3度450ml（1*4）,迎驾,3526,安徽霍邱,白酒-区域名酒,14495,jp_104.jpg,jpg,56926,http://yjp-product.ufile.ucloud.cn/Product/2017/11/1072341c27de483faf600775fb043b7b.jpg
5,迎驾银星42度450ml（1*4）,迎驾,3526,安徽霍邱,白酒-区域名酒,14499,jp_105.jpg,jpg,52828,http://yjp-product.ufile.ucloud.cn/Product/2017/11/6db0d050d0c64d8b9313365b66613655.jpg
6,迎驾八年40.3度500ml（1*4）,迎驾,3526,安徽霍邱,白酒-区域名酒,14503,jp_106.jpg,jpg,42540,http://yjp-product.ufile.ucloud.cn/Product/2017/11/7d3c1c4e058e4d6b81a10d22c0a58fd5.jpg
7,迎驾十年42度500ml（1*4）,迎驾,3526,安徽霍邱,白酒-区域名酒,14504,jp_107.jpg,jpg,68837,http://yjp-product.ufile.ucloud.cn/Product/2017/11/f3fe94ee14714671ababafea3a897a5d.jpg
8,迎驾十五年45度500ml（1*4）,迎驾,3526,安徽霍邱,白酒-区域名酒,14505,jp_108.jpg,jpg,41288,http://yjp-product.ufile.ucloud.cn/Product/2017/11/d93b241aab574b7f88d9fea37f2f1ca7.jpg
9,迎驾二十年50度500ml（1*4）,迎驾,3526,安徽霍邱,白酒-区域名酒,14508,jp_109.jpg,jpg,48643,http://yjp-product.ufile.ucloud.cn/Product/2017/11/27550a4bfa124041a28f22d775e28f93.jpg
10,口子窖五年46度2500ml,口子窖,3524,安徽濉溪,白酒-区域名酒,14512,jp_110.jpg,jpg,41481,http://yjp-product.ufile.ucloud.cn/Product/2017/11/a4f7b53fa69f49268b6abe60520f0138.jpg
11,口子窖六年41度2500ml,口子窖,3524,安徽濉溪,白酒-区域名酒,14513,jp_111.jpg,jpg,78896,http://yjp-product.ufile.ucloud.cn/Product/2017/11/be73496d1bcc47038451d2cf12cba760.jpg
12,口子窖二十年50度2500ml,口子窖,3524,安徽,白酒-区域名酒,46619,jp_112.jpg,jpg,78201,http://yjp-product.ufile.ucloud.cn/Product/2017/11/131bdf192dc64eb29e6fc2f36a801c42.jpg
13,皖酒王纪念版41度450ml,皖酒王,3527,安徽,白酒-区域名酒,14518,jp_113.jpg,jpg,53564,http://yjp-product.ufile.ucloud.cn/Product/2017/11/fb4c0c84df56468396a9ba81035777e4.jpg
14,衡水老白干8年41度500ml,衡水老白干,3528,河北,白酒-区域名酒,14519,jp_115.jpg,jpg,161682,http://yjp-product.ufile.ucloud.cn/Product/2017/11/8433cefd127445eab50721aa822949fc.jpg
15,衡水老白干8年52度500ml,衡水老白干,3528,河北,白酒-区域名酒,14521,jp_116.jpg,jpg,161682,http://yjp-product.ufile.ucloud.cn/Product/2017/11/691b409398494457b5fb5186a9fb2f98.jpg
